Sample_ID,Material,Cross_Section_Type,Beam_Length_m,Thickness_m,Factor_of_Safety,Moment_of_Inertia_m4,Cross_Sec_Area_m2,y_max_m,Young_Modulus_GPa,Yield_Strength_MPa,Sigma_Allow_MPa,P_Bending_kN,P_Shear_kN,P_Deflection_kN,Max_Load_kN,Governing_Criterion,Slenderness_Ratio,Max_Deflection_mm,Bending_Stress_MPa,Stress_Utilization_pct
16,Steel,Rectangular,8.422,0.176,3,0.000272451,0.0466863,0.132315,200,250,83.333,81.501,3008.673,122.929,80.186,Bending,47.74,18.6115,83.333,33.33
17,Steel,Rectangular,6.968,0.183,3.5,0.000317659,0.05041103,0.137492,200,250,71.429,94.734,2784.609,209.361,92.811,Bending,38.01,10.5099,71.429,28.57
18,Steel,Rectangular,2.099,0.417,1.5,0.00850081,0.26078051,0.312718,200,250,166.667,8632.191,33611.711,61719.253,5000,Bending,5.04,0.9788,166.667,66.67
19,Steel,Rectangular,14.804,0.406,2.5,0.00761017,0.24674148,0.304184,200,250,100,675.98,19081.341,1111.161,671.779,Bending,36.5,30.0206,100,40
20,Steel,Rectangular,4.086,0.438,3,0.010388695,0.28828729,0.328797,200,250,83.333,2577.81,18578.514,19915.451,2529.594,Bending,9.32,1.7628,83.333,33.33
21,Steel,Rectangular,7.956,0.079,3.5,1.07E-05,0.00926724,0.058951,200,250,71.429,6.54,511.904,5.427,5.559,Deflection,101.22,26.5205,59.276,23.71
22,Steel,Rectangular,17.97,0.262,3.5,0.001335328,0.10335679,0.196873,200,250,71.429,107.843,5709.232,132.327,112.231,Bending,68.46,48.8161,71.429,28.57
23,Steel,Rectangular,19.491,0.432,3.5,0.009796538,0.27995054,0.324008,200,250,71.429,443.219,15463.935,825.206,463.103,Bending,45.12,34.8951,71.429,28.57
24,Steel,Rectangular,10.888,0.285,2,0.001861538,0.12203404,0.213922,200,250,125,399.6,11796.623,502.458,403.654,Bending,38.17,28.8645,125,50
25,Steel,Rectangular,2.458,0.099,1.5,2.65E-05,0.01456849,0.073913,200,250,166.667,97.37,1877.717,140.568,97.638,Bending,24.94,5.6744,166.667,66.67
26,Steel,Rectangular,18.336,0.162,3.5,0.00019458,0.03945426,0.121636,200,250,71.429,24.926,2179.378,18.52,17.415,Deflection,113.06,61.1207,53.069,21.23
27,Steel,Rectangular,11.717,0.141,3.5,0.000112361,0.02998142,0.106033,200,250,71.429,25.839,1656.116,26.189,25.675,Bending,82.88,38.5356,71.429,28.57
28,Steel,Rectangular,4.902,0.468,3.5,0.013534006,0.32904718,0.351273,200,250,71.429,2245.648,18175.939,18023.233,2216.891,Bending,10.47,2.0359,71.429,28.57
29,Steel,Rectangular,7.321,0.097,3,2.54E-05,0.01425131,0.073104,200,250,83.333,15.811,918.418,15.156,14.915,Deflection,75.11,24.4047,79.88,31.95
30,Steel,Rectangular,18.066,0.293,2,0.002064464,0.12851346,0.219528,200,250,125,260.27,12422.967,202.409,205.526,Deflection,61.72,60.2202,97.211,38.88
31,Steel,Rectangular,4.198,0.21,1.5,0.000550466,0.0663606,0.157751,200,250,166.667,554.204,8553.145,999.728,568.334,Bending,19.96,7.7565,166.667,66.67
32,Steel,Rectangular,2.009,0.209,2.5,0.000533109,0.06530598,0.156492,200,250,100,678.148,5050.329,4225.202,651.47,Bending,9.63,1.075,100,40
33,Steel,Rectangular,2.125,0.28,1.5,0.001724681,0.11746252,0.209877,200,250,166.667,2577.893,15139.614,12220.366,2728.322,Bending,7.59,1.4943,166.667,66.67
34,Steel,Rectangular,6.849,0.16,2.5,0.00018366,0.03833114,0.119892,200,250,100,89.46,2964.275,125.272,89.048,Bending,42.85,16.3044,100,40
35,Steel,Rectangular,7.818,0.283,1.5,0.001815657,0.12052077,0.212592,200,250,166.667,728.316,15533.788,950.673,713.835,Bending,27.58,19.9638,166.667,66.67
36,Steel,Rectangular,6.57,0.161,2,0.000189414,0.03892703,0.120821,200,250,125,119.301,3762.946,140.4,118.777,Bending,40.79,18.6102,125,50
37,Steel,Rectangular,14.821,0.117,1.5,5.21E-05,0.02040703,0.087479,200,250,166.667,26.767,2630.239,7.584,7.483,Deflection,127.07,49.4029,47.22,18.89
38,Steel,Rectangular,8.211,0.335,2,0.003561605,0.16879821,0.251594,200,250,125,861.996,16317.16,1690.339,859.819,Bending,24.48,13.9579,125,50
39,Steel,Rectangular,11.557,0.252,3,0.001125282,0.0948802,0.188627,200,250,83.333,172.067,6114.502,269.609,170.961,Bending,45.95,24.5856,83.333,33.33
40,Steel,Rectangular,6.359,0.411,3.5,0.00805757,0.25389085,0.30856,200,250,71.429,1173.32,14024.447,6376.656,1149.06,Bending,15.46,3.9002,71.429,28.57
41,Steel,Circular,13.382,0.335,2.5,0.000618881,0.08818782,0.167544,200,250,100,110.416,6819.858,110.598,112.114,Bending,39.93,44.5317,100,40
42,Steel,Circular,4.713,0.279,3.5,0.000296109,0.06100015,0.139345,200,250,71.429,128.826,3369.532,426.602,130.927,Bending,16.91,4.7441,71.429,28.57
43,Steel,Circular,17.45,0.197,3,7.35E-05,0.03038204,0.098341,200,250,83.333,14.268,1957.954,7.719,7.721,Deflection,88.72,58.1682,45.083,18.03
44,Steel,Circular,6.077,0.34,3,0.000658506,0.09096716,0.170164,200,250,83.333,212.269,5862.328,570.613,209.941,Bending,17.86,7.5354,83.333,33.33
45,Steel,Circular,18.929,0.229,2,0.000134775,0.04115377,0.114454,200,250,125,31.104,3978.197,12.036,12.21,Deflection,82.69,63.0981,48.371,19.35
46,Steel,Circular,15.234,0.144,2,2.12E-05,0.01630462,0.072041,200,250,125,9.638,1576.113,2.917,2.998,Deflection,105.73,50.7796,37.832,15.13
47,Steel,Circular,6.643,0.347,2,0.000711626,0.09456509,0.173496,200,250,125,308.724,9141.292,516.036,308.845,Bending,19.14,13.2474,125,50
48,Steel,Circular,6.695,0.498,3,0.003026794,0.19502772,0.249157,200,250,83.333,604.843,12568.453,2160.933,611.698,Bending,13.44,6.2463,83.333,33.33
49,Steel,Circular,12.049,0.447,1.5,0.001963017,0.1570605,0.223593,200,250,166.667,485.75,20243.353,432.665,445.188,Deflection,26.94,40.1643,148.452,59.38
50,Steel,Circular,17.24,0.435,1.5,0.001763226,0.14885344,0.217673,200,250,166.667,313.24,19185.554,189.84,183.776,Deflection,39.6,57.4663,101.009,40.4
51,Steel,Circular,13.557,0.088,3,2.93E-06,0.0060632,0.043931,200,250,83.333,1.637,390.739,0.509,0.513,Deflection,154.29,45.1886,25.925,10.37
52,Steel,Circular,2.166,0.096,2.5,4.11E-06,0.00718738,0.047831,200,250,100,15.875,555.824,28.051,16.279,Bending,22.64,4.0852,100,40
53,Steel,Circular,19.526,0.178,2,4.90E-05,0.02481874,0.088882,200,250,125,14.122,2399.144,4.114,3.759,Deflection,109.84,65.0865,36.416,14.57
54,Steel,Circular,19.9,0.129,3,1.37E-05,0.01310354,0.064583,200,250,83.333,3.544,844.451,1.104,1.077,Deflection,154.07,66.3341,25.963,10.39
55,Steel,Circular,6.27,0.196,3,7.31E-05,0.03030435,0.098215,200,250,83.333,39.555,1952.947,59.477,41.149,Bending,31.92,13.9006,83.333,33.33
56,Steel,Circular,14.977,0.189,3,6.21E-05,0.02794469,0.094314,200,250,83.333,14.665,1800.88,8.865,8.67,Deflection,79.4,49.9231,50.378,20.15
57,Steel,Circular,11.159,0.336,3.5,0.000628252,0.08885296,0.168175,200,250,71.429,95.652,4908.068,161.458,98.265,Bending,33.18,22.0355,71.429,28.57
58,Steel,Circular,9.819,0.208,1.5,9.11E-05,0.0338278,0.103768,200,250,166.667,59.582,4360.028,30.223,30.197,Deflection,47.31,32.7303,84.544,33.82
59,Steel,Circular,12.384,0.272,3.5,0.000267239,0.05795018,0.135816,200,250,71.429,45.395,3201.058,55.758,45.389,Bending,45.59,33.6085,71.429,28.57
60,Steel,Circular,12.296,0.396,1.5,0.001205284,0.12306928,0.197925,200,250,166.667,330.166,15862.263,255.098,243.076,Deflection,31.06,40.9869,128.773,51.51
61,Steel,Circular,19.902,0.261,3.5,0.000229451,0.05369704,0.130738,200,250,71.429,25.196,2966.122,18.538,18.719,Deflection,76.11,66.3397,52.553,21.02
62,Steel,Circular,19.155,0.199,3.5,7.67E-05,0.03105182,0.099419,200,250,71.429,11.512,1715.243,6.692,6.793,Deflection,96.34,63.851,41.521,16.61
63,Steel,Circular,12.301,0.491,3,0.002856431,0.18945967,0.245575,200,250,83.333,315.188,12209.623,604.052,307.181,Bending,25.05,21.3956,83.333,33.33
64,Steel,Circular,17.32,0.193,2,6.76E-05,0.02913867,0.096307,200,250,125,20.253,2816.738,7.207,6.88,Deflection,89.92,57.7349,44.483,17.79
65,Steel,Circular,12.022,0.471,2,0.002421295,0.17443307,0.235635,200,250,125,427.353,16861.863,536.06,435.495,Bending,25.51,31.948,125,50
66,Steel,Circular,8.456,0.164,2,3.58E-05,0.02122043,0.082187,200,250,125,25.782,2051.309,16.038,15.518,Deflection,51.44,28.1855,77.758,31.1
67,Steel,Circular,17.793,0.383,1.5,0.001060067,0.11541745,0.191673,200,250,166.667,207.223,14876.027,107.152,108.497,Deflection,46.41,59.3091,86.18,34.47
68,Steel,Circular,11.951,0.183,2,5.56E-05,0.02642582,0.091715,200,250,125,25.35,2554.496,12.451,12.179,Deflection,65.15,39.8359,61.395,24.56
69,Steel,Circular,16.582,0.44,3.5,0.001842897,0.15217928,0.220091,200,250,71.429,144.275,8406.093,214.474,139.154,Bending,37.67,37.1821,71.429,28.57
70,Steel,Circular,3.277,0.229,3,0.000133942,0.04102633,0.114276,200,250,83.333,119.226,2643.919,399.144,120.996,Bending,14.34,3.2628,83.333,33.33
71,Steel,Circular,17.959,0.062,2,7.46E-07,0.00306085,0.031214,200,250,125,0.665,295.882,0.074,0.5,Deflection,287.68,59.8637,13.904,5.56
72,Steel,Circular,2.647,0.26,3.5,0.000222663,0.0528967,0.12976,200,250,71.429,185.222,2921.913,1016.956,180.466,Bending,10.2,1.607,71.429,28.57
73,Steel,Circular,17.101,0.437,1.5,0.001793161,0.15011171,0.218591,200,250,166.667,319.801,19347.732,196.217,190.959,Deflection,39.12,57.0027,102.26,40.9
74,Steel,Circular,11.4,0.396,3,0.001213193,0.12347241,0.198249,200,250,83.333,178.928,7957.111,298.704,177.131,Bending,28.75,22.7633,83.333,33.33
75,Steel,Circular,19.375,0.256,3.5,0.00021007,0.05137913,0.127885,200,250,71.429,24.224,2838.086,17.908,17.707,Deflection,75.75,64.5818,52.805,21.12
76,Steel,Circular,14.591,0.112,3.5,7.80E-06,0.00989763,0.056129,200,250,71.429,2.72,546.726,1.172,1.126,Deflection,129.98,48.6374,30.774,12.31
77,Steel,Circular,19.452,0.372,2.5,0.000935669,0.10843413,0.185784,200,250,100,103.566,8385.573,79.133,77.562,Deflection,52.35,64.8389,76.408,30.56
78,Steel,Circular,9.901,0.085,3.5,2.60E-06,0.00571535,0.042653,200,250,71.429,1.759,315.705,0.848,0.87,Deflection,116.07,33.005,34.462,13.78
79,Steel,Circular,5.318,0.086,1.5,2.73E-06,0.00586199,0.043196,200,250,166.667,7.936,755.546,3.094,3.06,Deflection,61.56,17.7267,64.981,25.99
80,Steel,Circular,18.474,0.249,1.5,0.000188875,0.04871836,0.124529,200,250,166.667,54.734,6279.255,17.71,17.793,Deflection,74.17,61.5795,53.927,21.57
81,Steel,I-Beam,13.884,0.176,3.5,1.00E-10,0.01641173,0.17597,200,250,71.429,0,906.553,0,0.5,Bending,78.9,32.6004,71.429,28.57
82,Steel,I-Beam,13.011,0.239,3,1.00E-10,0.03022855,0.23882,200,250,83.333,0,1948.062,0,0.5,Bending,54.48,24.6125,83.333,33.33
83,Steel,I-Beam,12.189,0.121,1.5,1.00E-10,0.00780995,0.121391,200,250,166.667,0,1006.616,0,0.5,Deflection,100.41,40.6289,79.675,31.87
84,Steel,I-Beam,3.695,0.19,3,1.00E-10,0.0191604,0.190136,200,250,83.333,0,1234.781,0,0.5,Bending,19.43,2.4931,83.333,33.33
85,Steel,I-Beam,5.156,0.058,2,1.00E-10,0.0017659,0.057722,200,250,125,0,170.704,0,0.5,Deflection,89.32,17.1865,89.563,35.83
86,Steel,I-Beam,5.118,0.245,2,1.00E-10,0.03187385,0.245233,200,250,125,0,3081.139,0,0.5,Bending,20.87,5.5623,125,50
87,Steel,I-Beam,13.085,0.336,2,1.00E-10,0.05976087,0.335792,200,250,125,0,5776.884,0,0.5,Bending,38.97,26.558,125,50
88,Steel,I-Beam,11.709,0.358,2,1.00E-10,0.06784486,0.357784,200,250,125,0,6558.337,0,0.5,Bending,32.73,19.9573,125,50
89,Steel,I-Beam,2.477,0.314,2.5,1.00E-10,0.0521225,0.313599,200,250,100,0,4030.807,0.001,0.5,Bending,7.9,0.8153,100,40
90,Steel,I-Beam,12.321,0.108,3.5,1.00E-10,0.00616192,0.107825,200,250,71.429,0,340.373,0,0.5,Deflection,114.26,41.0687,70.013,28.01
91,Steel,I-Beam,11.821,0.474,2.5,1.00E-10,0.11890709,0.473659,200,250,100,0,9195.482,0,0.5,Bending,24.96,12.2925,100,40
92,Steel,I-Beam,5.72,0.173,3,1.00E-10,0.01591422,0.173283,200,250,83.333,0,1025.583,0,0.5,Bending,33.01,6.5568,83.333,33.33
93,Steel,I-Beam,3.814,0.058,2.5,1.00E-10,0.00179523,0.0582,200,250,100,0,138.831,0,0.5,Bending,65.53,10.4143,100,40
94,Steel,I-Beam,13.803,0.223,2,1.00E-10,0.02645775,0.223428,200,250,125,0,2557.583,0,0.5,Bending,61.78,44.4128,125,50
95,Steel,I-Beam,2.419,0.417,1.5,1.00E-10,0.09194507,0.416511,200,250,166.667,0,11850.698,0.001,0.5,Bending,5.81,0.9755,166.667,66.67
96,Steel,I-Beam,8.27,0.471,3,1.00E-10,0.11782133,0.471492,200,250,83.333,0,7592.93,0,0.5,Bending,17.54,5.0368,83.333,33.33
97,Steel,I-Beam,9.523,0.485,3,1.00E-10,0.12488076,0.485411,200,250,83.333,0,8047.871,0,0.5,Bending,19.62,6.4871,83.333,33.33
98,Steel,I-Beam,16.523,0.496,3,1.00E-10,0.13024515,0.495727,200,250,83.333,0,8393.576,0,0.5,Bending,33.33,19.1225,83.333,33.33
99,Steel,I-Beam,8.696,0.399,3.5,1.00E-10,0.08453979,0.399386,200,250,71.429,0,4669.817,0,0.5,Bending,21.77,5.6356,71.429,28.57
100,Steel,I-Beam,15.318,0.157,1.5,1.00E-10,0.01309832,0.157206,200,250,166.667,0,1688.228,0,0.5,Deflection,97.44,51.0612,82.101,32.84
101,Steel,I-Beam,11.618,0.273,1.5,1.00E-10,0.03963143,0.273453,200,250,166.667,0,5108.051,0,0.5,Bending,42.49,34.2776,166.667,66.67
102,Steel,I-Beam,9.006,0.055,1.5,1.00E-10,0.00159608,0.054877,200,250,166.667,0,205.717,0,0.5,Deflection,164.11,30.0188,48.749,19.5
103,Steel,I-Beam,17.249,0.21,3,1.00E-10,0.0233079,0.209707,200,250,83.333,0,1502.065,0,0.5,Bending,82.25,49.2607,83.333,33.33
104,Steel,I-Beam,10.072,0.182,1.5,1.00E-10,0.01754508,0.181945,200,250,166.667,0,2261.366,0,0.5,Deflection,55.36,33.5734,144.515,57.81
105,Steel,I-Beam,11.967,0.146,3.5,1.00E-10,0.01125536,0.145728,200,250,71.429,0,621.724,0,0.5,Bending,82.12,29.2459,71.429,28.57
106,Steel,I-Beam,3.642,0.272,2,1.00E-10,0.03935267,0.272489,200,250,125,0,3804.092,0,0.5,Bending,13.36,2.5349,125,50
107,Steel,I-Beam,9.948,0.449,2.5,1.00E-10,0.10707085,0.449467,200,250,100,0,8280.146,0,0.5,Bending,22.13,9.1733,100,40
108,Steel,I-Beam,17.604,0.427,3.5,1.00E-10,0.09677761,0.427316,200,250,71.429,0,5345.811,0,0.5,Bending,41.2,21.5832,71.429,28.57
109,Steel,I-Beam,6.006,0.228,2.5,1.00E-10,0.02767085,0.228493,200,250,100,0,2139.879,0,0.5,Bending,26.29,6.5787,100,40
110,Steel,I-Beam,3.527,0.494,3.5,1.00E-10,0.1293327,0.493988,200,250,71.429,0,7144.092,0,0.5,Bending,7.14,0.7495,71.429,28.57
111,Steel,I-Beam,8.672,0.416,1.5,1.00E-10,0.09161379,0.41576,200,250,166.667,0,11808,0,0.5,Bending,20.86,12.56,166.667,66.67
112,Steel,I-Beam,14.747,0.267,3,1.00E-10,0.03771249,0.26675,200,250,83.333,0,2430.36,0,0.5,Bending,55.28,28.3091,83.333,33.33
113,Steel,I-Beam,12.051,0.241,2,1.00E-10,0.03075736,0.2409,200,250,125,0,2973.212,0,0.5,Bending,50.03,31.3999,125,50
114,Steel,I-Beam,6.566,0.232,2,1.00E-10,0.02861063,0.232341,200,250,125,0,2765.694,0,0.5,Bending,28.26,9.6652,125,50
115,Steel,I-Beam,15.338,0.395,1.5,1.00E-10,0.0827928,0.395238,200,250,166.667,0,10671.072,0,0.5,Bending,38.81,41.3323,166.667,66.67
116,Steel,I-Beam,6.275,0.23,3,1.00E-10,0.02806146,0.2301,200,250,83.333,0,1808.405,0,0.5,Bending,27.27,5.942,83.333,33.33
117,Steel,I-Beam,7.143,0.441,3.5,1.00E-10,0.10301399,0.44087,200,250,71.429,0,5690.296,0,0.5,Bending,16.2,3.4442,71.429,28.57
118,Steel,I-Beam,19.873,0.083,2.5,1.00E-10,0.00366953,0.083208,200,250,100,0,283.777,0,0.5,Deflection,238.84,66.2446,33.495,13.4
119,Steel,I-Beam,14.517,0.084,1.5,1.00E-10,0.00373483,0.083946,200,250,166.667,0,481.378,0,0.5,Deflection,172.94,48.3913,46.259,18.5
120,Steel,I-Beam,19.925,0.364,2.5,1.00E-10,0.0700749,0.363616,200,250,100,0,5419.126,0,0.5,Bending,54.8,45.4926,100,40
121,Steel,T-Beam,18.221,0.07,3,3.64E-06,0.00310208,0.091163,200,250,83.333,0.729,199.912,0.35,0.5,Deflection,258.63,60.7361,40.026,16.01
122,Steel,T-Beam,8.042,0.126,3,3.76E-05,0.00997864,0.163505,200,250,83.333,9.536,643.068,18.612,9.468,Bending,63.64,13.7339,83.333,33.33
123,Steel,T-Beam,10.347,0.209,2,0.000281596,0.02730285,0.270457,200,250,125,50.316,2639.275,84.175,49.111,Bending,49.5,20.6155,125,50
124,Steel,T-Beam,6.679,0.254,1.5,0.000613792,0.04030929,0.328622,200,250,166.667,186.43,5195.419,440.287,178.947,Bending,26.3,9.4271,166.667,66.67
125,Steel,T-Beam,7.036,0.235,3.5,0.000450361,0.03452826,0.304146,200,250,71.429,60.131,1907.276,291.132,58.511,Bending,29.93,4.8439,71.429,28.57
126,Steel,T-Beam,18.397,0.42,2,0.004597847,0.11032444,0.543663,200,250,125,229.855,10664.695,434.736,233.248,Bending,43.79,32.4226,125,50
127,Steel,T-Beam,9.5,0.312,1.5,0.001389737,0.06065418,0.403111,200,250,166.667,241.945,7817.65,492.811,247.027,Bending,30.49,15.5459,166.667,66.67
128,Steel,T-Beam,17.589,0.07,1.5,3.61E-06,0.00309306,0.091031,200,250,166.667,1.505,398.661,0.374,0.5,Deflection,250.03,58.6305,41.403,16.56
129,Steel,T-Beam,15.997,0.266,1.5,0.000740602,0.04427789,0.344419,200,250,166.667,89.613,5706.928,92.612,93.303,Bending,60.1,51.5963,166.667,66.67
130,Steel,T-Beam,9.074,0.423,1.5,0.004729784,0.11189615,0.547522,200,250,166.667,634.685,14422.17,1838.281,621.78,Bending,21.44,10.4428,166.667,66.67
131,Steel,T-Beam,17.09,0.261,2.5,0.000683828,0.04254689,0.33762,200,250,100,47.407,3290.293,74.923,47.718,Bending,65.5,36.0446,100,40
132,Steel,T-Beam,11.618,0.387,2.5,0.00332566,0.0938282,0.501373,200,250,100,228.369,7256.048,788.402,225.05,Bending,29.99,11.2178,100,40
133,Steel,T-Beam,11.998,0.396,3.5,0.003630332,0.09803195,0.512481,200,250,71.429,168.694,5415.098,807.04,165.433,Bending,30.29,8.3596,71.429,28.57
134,Steel,T-Beam,6.34,0.142,1.5,6.05E-05,0.01265054,0.184098,200,250,166.667,34.533,1630.514,48.136,35.938,Bending,44.56,15.1601,166.667,66.67
135,Steel,T-Beam,19.173,0.323,1.5,0.001601732,0.06511626,0.417675,200,250,166.667,133.343,8392.762,139.432,137.585,Bending,59.4,61.1188,166.667,66.67
136,Steel,T-Beam,8.447,0.101,2,1.54E-05,0.00638837,0.130825,200,250,125,6.975,617.543,6.914,7.234,Deflection,83.55,28.1564,123.903,49.56
137,Steel,T-Beam,10.967,0.264,2.5,0.000719989,0.04365734,0.341997,200,250,100,76.785,3376.168,191.559,79.501,Bending,41.5,14.6534,100,40
138,Steel,T-Beam,11.934,0.302,2.5,0.001234313,0.05716195,0.391334,200,250,100,105.716,4420.524,277.319,105.93,Bending,39.46,15.1648,100,40
139,Steel,T-Beam,9.263,0.11,3.5,2.18E-05,0.00760475,0.142737,200,250,71.429,4.721,420.072,8.148,4.932,Bending,83.97,17.8895,71.429,28.57
140,Steel,T-Beam,5.833,0.111,3,2.27E-05,0.00775165,0.144109,200,250,83.333,9.001,499.551,21.346,9.238,Bending,52.38,8.1988,83.333,33.33
141,Steel,T-Beam,19.648,0.324,2,0.00161889,0.06546409,0.41879,200,250,125,98.371,6328.196,134.189,94.879,Bending,60.71,48.0125,125,50
142,Steel,T-Beam,18.275,0.207,1.5,0.000269438,0.02670692,0.267489,200,250,166.667,36.746,3442.225,25.817,24.237,Deflection,88.41,60.9162,117.096,46.84
143,Steel,T-Beam,16.106,0.228,2,0.000401876,0.03261674,0.295607,200,250,125,42.205,3152.951,49.577,40.048,Bending,70.5,45.7032,125,50
144,Steel,T-Beam,10.264,0.491,3.5,0.008577267,0.15068462,0.635373,200,250,71.429,375.765,8323.532,2605.122,375.139,Bending,20.9,4.9352,71.429,28.57
145,Steel,T-Beam,8.253,0.144,2.5,6.36E-05,0.0129796,0.186477,200,250,100,16.54,1003.756,29.896,16.479,Bending,57.27,15.2207,100,40
146,Steel,T-Beam,4.32,0.108,2.5,1.98E-05,0.00723887,0.139261,200,250,100,13.162,559.806,33.944,13.132,Bending,40.14,5.5833,100,40
147,Steel,T-Beam,4.499,0.338,3,0.001934906,0.07156891,0.437881,200,250,83.333,327.399,4612.218,3059.139,334.739,Bending,13.29,1.605,83.333,33.33
148,Steel,T-Beam,10.531,0.35,2,0.0022245,0.07673803,0.453419,200,250,125,232.927,7418.01,641.826,230.896,Bending,30.06,12.7398,125,50
149,Steel,T-Beam,12.835,0.151,3.5,7.62E-05,0.0142001,0.195047,200,250,71.429,8.694,784.386,14.797,8.555,Bending,85.15,25.1363,71.429,28.57
150,Steel,T-Beam,5.186,0.09,1.5,9.65E-06,0.00505307,0.116351,200,250,166.667,10.656,651.285,11.476,10.403,Bending,57.68,16.0532,166.667,66.67
151,Steel,T-Beam,11.62,0.21,2,0.000288052,0.02761402,0.271994,200,250,125,45.571,2669.355,68.271,45.059,Bending,55.28,25.8538,125,50
152,Steel,T-Beam,7.788,0.092,1.5,1.04E-05,0.00523618,0.118441,200,250,166.667,7.485,674.885,5.464,5.329,Deflection,85.09,25.9616,121.657,48.66
153,Steel,T-Beam,14.38,0.28,2.5,0.000910179,0.04908602,0.362638,200,250,100,69.815,3795.985,140.848,71.598,Bending,51.31,23.7597,100,40
154,Steel,T-Beam,15.469,0.133,2,4.62E-05,0.01106135,0.172147,200,250,125,8.679,1069.264,6.181,6.066,Deflection,116.28,51.5622,89.03,35.61
155,Steel,T-Beam,15.679,0.289,2,0.00103034,0.05222577,0.374056,200,250,125,87.84,5048.491,134.117,90.083,Bending,54.24,34.2302,125,50
156,Steel,T-Beam,18.114,0.28,3,0.000910298,0.04908924,0.36265,200,250,83.333,46.192,3163.529,88.781,44.823,Bending,64.63,31.4149,83.333,33.33
157,Steel,T-Beam,3.929,0.251,2.5,0.000588826,0.03948098,0.325228,200,250,100,184.317,3053.196,1220.539,179.5,Bending,15.63,1.9778,100,40
158,Steel,T-Beam,15.273,0.132,1.5,4.48E-05,0.01089458,0.170844,200,250,166.667,11.455,1404.19,6.151,6.109,Deflection,115.68,50.911,89.486,35.79
159,Steel,T-Beam,17.133,0.09,3,9.74E-06,0.00507848,0.116644,200,250,83.333,1.625,327.28,1.062,1.04,Deflection,190.06,57.1093,54.466,21.79
160,Steel,T-Beam,10.531,0.21,1.5,0.000285869,0.02750922,0.271477,200,250,166.667,66.658,3545.633,82.478,64.272,Bending,50.2,28.3714,166.667,66.67
161,Steel,Box,10.972,0.089,2,2.70E-05,0.0062133,0.089114,200,250,125,13.789,600.619,7.168,7.616,Deflection,123.12,36.5732,64.976,25.99
162,Steel,Box,12.16,0.22,3.5,0.001009771,0.03802243,0.220448,200,250,71.429,107.623,2100.287,218.518,112.114,Bending,55.16,19.9637,71.429,28.57
